p_id,review,adj,verb,review_en
f239,최고예요. 편안하게 있다 갔어요. 분위기 작살!!. 분위기죠아요 연남동에서 유일하게 즐겨찾는 바. 좋아요,"['편안하게', '유일하게']","['갔어요', '즐겨', '찾는']",It's the best. It's comfortable. He's gone. The mood is shattered! It's the atmosphere. It's the only favorite bar in Yeonnam-dong. Okay.
b209,희수야효선왕돈까스 쌍문1줄번게,,,Heesuya Hyosun king pork cutlet Ssangmun No.1
e810,더홀 했는데... 좀 부실해요. 가지마세요 상자 자물쇠도 안채워놓는 세팅실수해놓아서 처음 10분 시간낭비했어요. 제가 잘못하는건가싶어서 직원부르니까 사과 한마디없이 세팅실수도 인정하지않고 원치도않는 힌트알려줘놓고 나가버림. 여직원 교육좀 시켜주세요. 타업체들보다 전반적으로 불친절함,"['부실해요', '낭비했어요', '불친절함']","['했는데', '마세요', '채워놓는', '해놓아서', '하는건', '가싶어서', '부르니까', '하지', '않고', '않는', '알려줘놓고', '가버림', '시켜주세요']","It was a little duhol. It's a little weak. Don't go. I wasted the first 10 minutes because I made a mistake in setting the box lock. I called the staff because I thought I was wrong, so I didn't apologize and didn't accept the setting mistake and gave them a hint I didn't want. Please train the female staff. overall unfriendliness over other companies"
a211,"신나는 분위기에서 한잔하며 볼링 즐길 수 있는 곳. 좋은 분위기 속에서 맛있는 칵테일과 함께 재밌게 볼링 치고 왔어요! 가격이 싸진 않지만 가격만큼 신나게 즐기고 올 수 있는 곳!. 회사에서 스트레스 받고 직장동료들과 갔는데, 스트레스 다 날라갔습니다. 볼링 더 잘치고 싶어요 ㅠㅠ 분위기도 좋고 볼링 외에도 즐길게 많아서 좋았습니다.. 뒤에 대기 있으면 한번밖에 못침 몸좀 풀렸다 싶으면 다시 대기해야함 1인 1음료 기준 ,, 음료도 싸면 말 안하는데 제일 싼 콜라가 5900웡 이였나,,  직원분들은 친절하신데 변화는 필요할거같습니다. 볼링장에서 음식이랑 칵테일 파는 건 처음 봤는데 생각보다 퀄리티도 좋아서 놀랐다. 친구들이랑 가서 생일파티 하면 딱 좋을듯? 직원들도 친절하다!. 불친절함. 회식하러 스매싱볼 갔었는데 너무좋은 경험이였습니다. 볼링화도 윙팁이라 깜짝놀랐고;; 퀄리티에 만족하고 직원분들 서비스에 너무 만족했습니다ㅋㅋㅋ. 분위기 너무 좋아요 직원들도 잘생기고 친절해용 ㅋㅋ. 친구들과 어디갈까 하다가,  부산에서 스매싱볼 갔던 기억이 있어서, 들어가봤는데 생각보다 너무 재밌게 놀다 왔습니다. 감사합니다~ 직원분들 친절해서 좋았어요~~. 신청곡 드리는데 원하는 노래 마음껏 신청하라고 해주시고 기다리는동안 디바이스?? 하는데 꿀잼;; 자리도 소파석이라 편했습니다 또 올게요. 위치도 좋고 코다차야 바로 밑에 있어서 2차로 들리기 딱 좋은곳 볼링핀 잔에 나오는 시그니처 맥주도 판매하고 정말 잘놀았습니다^^청담점도 오픈 했다고 하니 꼭 가봐야겠어요. 일단 매장 진짜 예쁘구요 직원들 상냥하고 여친데려갔는데 진짜좋아합니다 칵테일도팔고 안주도진짜예쁘게 잘나와요 데이트코스로 딱인듯. 친구들이랑 놀러갔다 너무 재밌게 놀다왔습니다 무슨 클럽온줄... 볼링공도 다른볼링장이랑 달라서 좋고 신발조 구두모양이라 이뻐서 좋은데 노래랑 분위기까지 클럽이라니  간단하게 맥주한잔씩 마시면서 스트레스풀기 너무 좋은꺼같네요 자주 방문하겠습니다 하하. 라인 관리너무안되있음 볼링장이라고 말하기도 약간 부끄럽다 그리고 7개밖에없어서 사람많으면 기다려야할듯 볼링장보다는 펍느낌.... 칵테일 보통 하나에 15000원이고 맛 드럽게없음 . 라인관리 안되있고 기름칠 조차 안된곳. 볼링센터가서 4 게임 치고 아메 한잔 먹을 가격으로 2게임 치고 기분만 잡침. 별 한개도 아까움 볼링공이랑 볼링장도 되게 상태 안좋고 여기저기 스크래치 나 있어서 볼링 치기 싫어짐. 그렇다고 알바들 서비스가 친절하고 좋은 것도 아니고 무조건 음료 시켜야된다는데 젤 싼 음료가 약 만 원... 그것도 볼린 한 게임 치고 대기 있으면 쫓겨나듯이 바로 빠져줘야됨. 이따위로 장사하면 누가 이런 데 와서 놀겠나여 다들 모르고 갔다가 바가지 쓰고...더보기. 손님 쫓아내기에 급급하고 볼링 치는데 뒤에서 눈치줌. 직원들 불친절한 편. 가장 저렴한 음료 콜라 9천원. 다신 안 올 거임. 비추. 싸가지없음  영수증 던지고 빨리 계산하라고 재촉 강압적임 1월 11일 저녁에 방문함.. 보통이에요. 1인 1음료이긴 하지만 보통 한잔씩은 하니까 뭐. . 시설도 분위기도 접근성도 다 좋은데  꼭 시켜야하는 1인1음료 가격이 ㅎㄷㄷ함 배보다 배꼽이 더 큼 ;;;진심레알 ㅋㅋㅋ  . 너무 비싸서 못가요. 비싸기 오질라게 비싸네 실내가 너무어둡고 갈곳 못됩. 학생 입장에서 가격은 좀 부담이지만 분위기나 음식맛 괜찮고 기념일때 가서 놓기 좋은곳인거같네요. 맨날 술만먹었는데 이런 신세계가 있었다니!! 단체회식장소로 딱인듯. 볼링너무재밌어~. 시설도 분위기도 접근성도 다 좋은데  꼭 시켜야하는 1인1음료 가격이 ㅎㄷㄷ함 배보다 배꼽이 더 큼 ;;;진심레알 ㅋㅋㅋ  . 너무 비싸서 못가요. 비싸기 오질라게 비싸네 실내가 너무어둡고 갈곳 못됩. 학생 입장에서 가격은 좀 부담이지만 분위기나 음식맛 괜찮고 기념일때 가서 놓기 좋은곳인거같네요. 맨날 술만먹었는데 이런 신세계가 있었다니!! 단체회식장소로 딱인듯. 볼링너무재밌어~. 술 값이 어마무시함 코로나가 11,000원 만 천원 / 콜라 사이다 팔천원 ㅎㅎ 알고는 못 올듯. 1인당 볼링비 5500 신발대여료 2500 마가리타 17000~ 술가격이 조금 쎄네요~ 장소는 좀 협소한듯?","['신나는', '맛있는', '재밌게', '신나게', '좋았습니다', '친절하신데', '필요할거', '같습니다', '좋아서', '좋을듯', '친절하다', '불친절함', '만족하고', '만족했습니다', '잘생기고', '친절해용', '재밌게', '친절해서', '원하는', '편했습니다', '예쁘구요', '상냥하고', '좋아합니다', '예쁘게', '딱인듯', '재밌게', '이뻐서', '좋은데', '간단하게', '같네요', '안되있음', '부끄럽다', '많으면', '야할듯', '드럽게', '안되있고', '안된', '아까', '안좋고', '싫어짐', '친절하고', '아니고', '불친절한', '저렴한', '좋은데', '야하는', '비싸서', '비싸기', '비싸네', '어둡고', '괜찮고', '같네요', '있었다니', '딱인듯', '재밌어', '좋은데', '야하는', '비싸서', '비싸기', '비싸네', '어둡고', '괜찮고', '같네요', '있었다니', '딱인듯', '재밌어', '쎄네요']","['하며', '즐길', '왔어요', '싸진', '않지만', '즐기고', '올', '받고', '갔는데', '날라', '갔습니다', '잘치고', '싶어요', '즐길게', '침', '풀렸다', '싶으면', '해야', '싸면', '하는데', '싼', '이였나', '파는', '봤는데', '놀랐다', '가서', '하면', '하러', '갔었는데', '였습니다', '놀랐고', '갈까', '하다가', '갔던', '들어가', '봤는데', '놀다', '왔습니다', '감사합니다', '드리는데', '기다리는', '하는데', '올게요', '들리기', '나오는', '놀았습니다', '했다고', '가봐야겠어요', '데려갔는데', '잘나와요', '놀러', '갔다', '놀다', '왔습니다', '온줄', '마시면서', '꺼', '하겠습니다', '하기도', '기다려', '가서', '먹을', '시켜야', '된다는데', '싼', '한', '쫓겨나듯이', '빠져줘야', '됨', '하면', '와서', '놀겠나여', '들', '모르고', '갔다가', '쓰고', '쫓아내기에', '치는데', '다신', '올', '비추', '던지고', '이긴', '하니까', '시켜', '큼', '갈', '됩', '가서', '놓기', '먹었는데', '시켜', '큼', '갈', '됩', '가서', '놓기', '먹었는데', '알고는', '올듯', '인당']","A place where you can drink and enjoy bowling in an exciting atmosphere. I enjoyed bowling with delicious cocktails in a good atmosphere! It's not cheap, but you can enjoy it as much as the price! I was stressed out at work and went with my co-workers, but all my stress went away. I want to be better at bowling. The atmosphere was good and there were many things to enjoy besides bowling. If you are waiting in the back, you should wait again. Based on one drink per person, you can't even talk if it's cheap, but the cheapest coke was 5,900 won. The employees are kind, but they need a change. It was my first time to see a bowling alley selling food and cocktails, and I was surprised that the quality was better than I thought. Would it be perfect to have a birthday party with your friends? The employees are kind too! Unkindness. I went to Smashing Ball for a company dinner. It was a great experience. Bowling shoes were also a wing tip; I was satisfied with the quality and the staff service.The atmosphere is so nice. The employees are also handsome and kind. I was thinking about going somewhere with my friends, and I remember going to a smashing ball in Busan, so I went in and I had a lot of fun. Thank you! It was nice to see you guys. I'm giving you a song request, and you told me to request the song as much as I want. While waiting, device? It was fun to do; it was comfortable because it was a sofa seat. I'll be back again. It's located right under Kodachaya, so it's perfect for a second stop. I also sold signature beer from the bowling pin glass. I had a great time.I heard that Cheongdam store was opened, so I must go there. First of all, the store is really pretty. The staff is nice and I took my girlfriend, and I really like it. Cocktails and snacks are really pretty. It's perfect for a date. I had so much fun with my friends. I thought you were in a club. I like bowling balls because they are different from other bowling places, and I like them because they are pretty because they are shoes, shoes, and shoes, but since they are a club with a song and atmosphere, it's so good to drink a glass of beer and relieve stress. I'll visit often. Haha. It's a bit embarrassing to say it's a bowling alley if you don't take care of the line. There are only seven, so if there are many people, you'll have to wait. It feels like a pub rather than a bowling alley. It's 15,000 won per cocktail and it's tasteless. It's not line-managed and it's not even greased. I played 4 games at the bowling center and 2 games at the price of a cup of amo, and I feel bad. I don't want to waste a single star. The bowling ball and bowling alley are in bad condition. I don't want to play bowling because there are scratches here and there. But the part-timers' service is not good and they say we have to order drinks, but the cheapest drinks are about 10,000 won. If you play a game of Bolin and wait, you have to leave as soon as you're kicked out. Who's going to come and play in a place like this? Everyone's going there without knowing it, and then they're going to rip off.See more. He's too busy kicking out customers, and he's been bowling, but he's noticed from behind. the unkind side of the staff The cheapest drink, Coke, is 9,000 won. I'm not coming again. In the evening of January 11th, he called on me to throw the receipt and pay it quickly. It's normal. It's one drink per person, but we usually have a drink. The facilities, atmosphere, and accessibility are all good, but the price of one drink per person that you must order is bigger than your belly;;; ; be too expensive to go. It's too expensive. I can't leave the room too dark. For students, the price is a bit burdensome, but the atmosphere and food taste are good and it's a good place to put it down on anniversaries. How could there be a new world like this when I always drank! It's perfect for a group dinner. Bowling is so much fun. The facilities, atmosphere, and accessibility are all good, but the price of one drink per person that you must order is bigger than your belly;;; ; be too expensive to go. It's too expensive. I can't leave the room too dark. For students, the price is a bit burdensome, but the atmosphere and food taste are good and it's a good place to put it down on anniversaries. How could there be a new world like this when I always drank! It's perfect for a group dinner. Bowling is so much fun. The price of alcohol is enormous. Corona is 11,000 won. Coke soda. 8,000 won. I don't think he can come. Bowling fee per person, 5,500 shoes, 2500 margaritas, 17000. The price of alcohol is a bit high. It's a little small, isn't it?"
b44,걷기 길찾기 하면 배수로로 안내하니 괜히 헤매지말고 바로 노을공원입구로 가시오. 풍경은 하늘공원보다 정말 예쁘고 좋으나 글쎄요. 제 개인소견은 2번은 가지 않겠습니다. 음료수도 2500원이니 미리 싸가세요. 최고예요. 힐링하러가는곳. 가보고 싶은 곳-공원. 해지는 노을 풍경이 너무 이쁜곳,"['예쁘고', '좋으나', '이쁜']","['하면', '하니', '헤매지말고', '가시오', '않겠습니다', '싸가세요', '하러가는', '가보고', '싶은']","If you find a way to walk, you will be guided to the ditch, so don't wander around and go straight to the entrance to Noeul Park. The scenery is much prettier and better than Sky Park, but I don't know. I won't go twice. The drink is 2,500 won, so take it with you in advance It's the best place to go for healing. A place I'd like to visit - a park. Where the sunset is so beautiful"
f206,좀 오래 전에 갔었는데 위치가 좀 애매해서 그렇지 식사류 너무 맛있고 좋아요. 손님 그렇게 많지 않았는데 사라지지 않았으면 ㅠㅠ. 단골이에요! 깨끗하고 조용하고 책도 찾는건 다있어요 볶음밥 진심 대존맛... 밥먹고 책보다보면 잠이 솔솔와서 두어시간씩 자다와요ㅋㅋㅋ 진짜 편해요 추천. 새로 생겻다고 해서 와봤는데 시설도 쾌적하고 깔끔해서 좋았어요 앞으로 자주올거같아요 티비도 볼수잇는!!,"['애매해서', '맛있고', '많지', '깨끗하고', '조용하고', '있어요', '편해요', '새로', '쾌적하고', '깔끔해서']","['갔었는데', '않았는데', '사라지지', '않았으면', '찾는건', '먹고', '보면', '서', '자다와', '해서', '와', '봤는데', '올거', '볼수', '잇는']","I've been there a while ago, but the location is a bit ambiguous, but the meals are so good and good. There weren't that many customers, but they didn't disappear. She's a regular! She's clean, quiet, she's looking for books. Stir-fried rice is really delicious... When I read a book after eating, I get sleepy and sleep for a couple of hours.It's really comfortable. I recommend it. I came here because I heard it was new, and the facilities were nice and clean. I think I'll come here often. You can watch TV!"
f20,보드게임 종류가 일단 많고 매장도 넓어요 직원분들이 게임 추천도 해주시고 룰도 친절하게 설명해주셔요 나갈 때도 재미있게 즐기셨냐고 꼭 물어보고 좋아요! 아 그리고 한 시간에 2400원이에요 음료값 미포함해서. 보통이에요. 보통이에요,"['넓어요', '친절하게', '재미있게', '미']","['해주셔요', '나갈', '즐기셨냐고', '물어보고', '한', '해서']","There are many kinds of board games. There are a lot of stores. Staff members recommend the game and explain the rules kindly. You should ask if you enjoyed it when you went out. Good! Oh, and it's 2,400 won per hour. without including drinks It's normal. It's normal."
g112,신림에서 발견한 가성비 갑 노래방 4곡에 천원  가기 전에 1000원짜리 지폐와 물 준비해가면 편함. 직원분 계실때 계좌이체로 가능하고 아저씨 완전 친절하심!!! 좋아요~~~ 무선 마이크 아닌거 빼고 다 좋아요 ㅋㅋ. 뛰어난 음향시설 모니터링 잘되는 마이크 깨끗한 시설 물은 비싸지만 음료수는 엄청 저렴하고 (수염차 천원이라 두개사먹음) 화장실도 깨끗함 신림 살기 좋은데네요(친구자취방). 좋아요. 사장님이 너무 잘생기셨어요!! 게다가 친절까지 이거참 완벽 그자체임돠!@@앞으로도 자주갈것같아요!!,"['편함', '계실', '가능하고', '친절하', '아닌거', '뛰어난', '깨끗한', '비싸지만', '저렴하고', '깨끗함', '좋은데', '잘생기셨어요']","['해가면', '빼고', '되는', '갈것']","It is convenient to bring a 1,000 won bill and water before going to the four karaoke songs found in Sinrim. You can transfer money when there is an employee, and you are so kind!!! Good~~~ I like everything except for the wireless microphone. Excellent sound facility monitoring, good microphone clean facility water is expensive, but drinks are very cheap (drink and drink for 1,000 won) and toilets are clean and nice to live in (friend Good. The boss is so handsome! And also kindness. What a perfect self!I think I'll go often in the future, too!"
f1913,최고예요,,,It's the best.
b88,완전 별루. 입장료도 비쌈. 비추,['비쌈'],['비추'],That's not a good idea. The entrance fee is also beef. Light
